position,artist,song,time,album,label,notes
1,Black Belt Eagle Scout,On the River,,The Land The Water The Sky,Saddle Creek,Brand new! Performing at the Timber! festival in Carnation in July
2,NAVVI,Love,,V,Hush Hush,
3,Kristen Roos,Musmusic TIll M,,Calliope,Hotham Sound,2022 compilation to raise funds for NARAL North America
4,Jenn Champion,Donating Your Body to Science,,Donating Your Body to Science,,
5,Tame Impala,One More Year,,The Slow Rush,Modular,"2020 LP, 2022 deluxe box set"
6,Herbie Hancock,Perfect Machine,,Perfect Machine,Columbia,Final album of “Rockit” triad
7,Wnbl_,Noto,,Stange Heat,Agogo,Collective from Berlin
8,Rachel Therrien Quintet,Rocket Launch,,Why Don’t You Try,Trust Revolution,Montreal free jazz from 2017
9,style.king.of.the.week,Mt. Hope Reservoir,,Style King of The Week,,inspired by a late night swim
10,Toro y Moi,Rose Quartz (instrumental),,Anything in Return (instrumentals),Carpark,2023 instrumental versions of 2013 LP
11,Steve Roach,The Beauty Relentless,,Bloom Ascension,Projekt,crafted specifically for LP format
12,Colin Chin,The Alluvial Plains,,Intruding on a Silence,Narada Equinox,1988 solo debut; featuring Mark Isham on trumpet
13,Mark Isham,Sympathy and Acknowledgment,,Vapor Drawings,Windham Hill,1983 solo debut; first album on the label featuring electronic instruments
14,Stellarium,Ladder of Dust,,Pillars of Light,Milan,January 2023 release
15,Siren and the Sea,Gravity Wave,,Gravity Wave,Bathysphere,Brand new from Cristina Cano
16,Rudy Adrian,Hemlock Grove,,A Walk in the Shadow Garden,Spotted Peccary,"“a companion piece for rest, reading, and walks down winding forest trails”"
17,{arsonist},Till Human Voices Wake Us,,Reality Structure,Unifactor,Digital collage from Pittsburgh
18,IKSRE feat. Diego Villata,It’s Quiet at the Edge of the Universe,,III,Hush Hush,
19,SKRUK & Nasha Vahdat,Mad Blomster I Fang,,I Vienen Spiel,Kirkelig Kulturewerksted,
20,Julianna Barwick ft Jonsi,In Light,,Healing is a Miracle,Ninja Tune,
21,Loscil,Grey Bows,,Calliope,Hotham Sound,
