position,artist,song,time,album,label,notes
1,Mt Fog,Behind a Silent Door,,Spells of Silence,,Performing at Belltown Yacht Club on June 7 2023
2,CHVRCHES,The Mother We Share,,The bones of what you believe,,September 2012 debut LP
3,Yaeji,Done (Let’s Get It),,With a Hammer,,Live at Day In Day Out Festiva l August 12 2023
4,Melody’s Echo Chamber,Looking Backward,,Emotional Eternal,,One of my favorite albums from 2022
5,Holy Fuck ft. Nicholas Allbrook,Free Gloss,,Deleter,,Featuring vocals by Pond frontman
6,"FM Attack, Betamaxx",Cosmic Voyage,,Cosmic Voyage (single),,Sequential Prophet synth spotlight article
7,LEATHERS,Ultraviolet,,Ultraviolet (single ),,Interview with Shannon Hemmett for Sequential Prophet spotlight
8,Style King of the Week,Eerie Blvd,,Style king of the week EP,,Live at Vermillion Art Gallery June 26 2023
9,Bluetech,Echoes of Orion,,Spacehop Chronicles 2: Echoes of Orion,,"Continuing the story of laika, the cosmonaut dog"
10,Nils Frahm,All Armed,,All Encores,,2019 Brings together three Eps refined live
11,MIDI Janitor,Vapor King,,Bulk Order,,originally imagined the MIDI Janitor as an aging maintenance man creating beats in the privacy of his supply closet
12,Gotan Project,Vuelvo al Sur,,La Revancha del Tango,,2001 debut LP
13,Still Corners,Shifting Dunes,,The Last Exit,,"Ambient country, one of my faves from 2021"
14,Deborah Martin & Jill Haley,Hall of Whispers,,Into the Quiet,,Brand new on Spotted Peccary
15,Eydís Evenson,Dreaming of Light,,The Light,,Live at The Triple Door Oct 13 2023
16,Enya,The Loxian Gate,,Dark Sky Island,,"inspired by designation of Sark, in the Channel Islands, as a dark-sky preserve"
17,Siren and the Sea,Probably Hawai’i,,Gravity Wave,,March 2023 release from Cristina Cano
18,AeTopus,Aerie (Extended),,Urbus,,"Bellingham artist, just signed with Spotted Peccary Records"
19,The Conspiracy Tapes,For As Long As it Takes,,The Conspiracy Tapes,,"Upcoming debut album in June Manila, Phillippines solo project"
20,Fumerolles,Cyclique,,Nuit jaune,,Montral illustrator and librarian Frédérique Duval
21,{arsonist},Till human voices wake us,,Reality structure,,Pittsburgh artist — “unbraids time and decoloroizes nature”
22,Dreamstate Logic,Crystalline multiverse,,Era4,,"Colby Sixx, solo electronic project January 2020"
23,Tom Eaton,Before Obsidian,,Collected Ambient Works Volum 1,,grammy-award nominated – New Hampshire-based ambient artist
