position,artist,song,time,album,label,notes
1,FM Attack,Timelesss,,Timeless,,"March 24, 2023 w/ add’l vocals by Stella Dee Ward"
2,Nation of Language,Rush and Fever,,"Introduction, Presence",,2020 debut LP
3,NAVVI,Ultimae,,V,,Seattle new music
4,Sally Shapro,Dulcinea (Ben Macklin Remix),,Sad Cities (The Remixes),,Swedish duo; London-based remixer; April 2022
5,New Order,Perfect Kiss (12″ mix),,Substance 1987,,Jonathan Demme video
6,A Covenant of Thorns,Grace (Like The Back of a Fist),,Ashes,,"Brand new! Comes out May 26, Scott-David Allen"
7,The Cure,Fascination Street,,Disintegration,,"1989, 8th LP, approaching 30 and began writing by himself as he wrestled with depression"
8,Sisters of Mercy,"Lucretia, My Reflection",,Floodland,,Final single from 1988 Floodland; written by Andrew Eldritch for bassist Patricia Morrison
9,ACTORS,Strangers,,Acts of Worship,,"Vancouver, BC 2021 release"
10,POLICA,Alive,,Madness,,2022 Minneapolis synthpop
11,Boy Harsher,Come Closer,,Careful,,2019 album
12,Depeche Mode,Strangelove (Maxi Mix),,,,12″ single supporting Music for the Masses 1987
13,ODESZA feat. Julianna Barwick,This Version of You,,The Last Goodbye,,"Bellingham-based duo, vcals from recorded therapy session"
14,Enya,Storms in Africa,,Watermark,,
15,Orbital,I Wish I Had Duck Feet,,Snibilization,,1994 ambient techno
16,Hello Meteor,Photic Glitter,,The Lower Path,,Brand new from Seattle anonymous “cozywave” act
17,Alio Die & Lorenzo Montana,Cave Chasm Recall,,Dialogue of Water,,Italian artitsts exploring the perpetual flow of water; due out June 2023
18,SNOWDN,19XX,,Modern Quilt EP,,December 2022 – Seattle-based artist Justin Benjamin; includes waves on the Puget Sound
19,Terminus Void,Dark Outpost,,Origins Unknown,,2022 dark ambient
20,Brian Eno,There Were Bells,,FOREVERANDEVERNOMORE,,"Climate-focused single, 2022, first Brian Eno vocal projects since 2005"
21,Colin Chin,The Alluvial Plains,,Intruding on a Silence,,1989 Narada
22,Suzanne Ciani,The Fourth Wave: Wind In The Sea,,Seven Waves,,"1979 Japan-only release, re-released in US in 1984"
23,Abstract Audio System,Out Beyond the Belt,,Marginal Breath,,May 2023 on Neotantra
24,Steve Roach,Infinite Shore,,The Magnificent Void,,1996 dark ambient on hears of space label
