position,artist,song,time,album,label,notes
1,Select Level,The Race,00:00,,,
2,Pure Bathing Culture,Devotion - Acoustic,02:51,,,
3,Slowdive,shanty,05:49,,,
4,The Cure,Pictures Of You,12:37,,,
5,Soft Release,Find You Later,20:13,,,
6,Midnight High,Perfect Sun,25:23,,,
7,Caroline Polachek,Butterfly Net (feat. Weyes Blood),30:17,,,
8,Hello Meteor,The Move After Organization (Shining Tiger),35:46,,,
9,Depeche Mode,Enjoy The Silence,38:56,,,
10,Depeche Mode,Sibeling,43:21,,,
11,LIGHTSPEAR,Traffic,46:40,,,
12,Cartas de Japón,Ostende,51:29,,,
13,AeTopus,Memento,01:00:24,,,
14,Lori Goldston & Stefan Christoff,Around points of convergence,01:08:14,,,
15,Lori Goldston & Stefan Christoff,Solar in duet,01:11:24,,,
16,David Helpling,A Treasured World,01:23:07,,,
17,Rudy Adrian,The Belt of Orion,01:28:50,,,
18,T. R. Jordan,On Air,01:36:00,,,
19,Mount Maxwell,"Lozenge with Two Lines and Blue, 1926",01:40:11,,,
20,Terminus Void,Waiting on Infinity,01:46:40,,,
21,Steve Roach,This is Why (excerpt),01:51:20,,,
